Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Gastric cancer	18/149	6.137127088281672E-9	7.886208308441948E-8	0	0	6.250460339310296	118.18938642179147	TCF7L2;SHC3;HGF;FGF1;FGF2;GADD45G;TGFBR2;FGF7;CCND1;CCNE2;TERT;ERBB2;E2F1;RARB;E2F2;BAK1;MET;RXRG
MicroRNAs in cancer	26/310	7.81816085665022E-9	9.567939715043364E-8	0	0	4.210612121415846	78.59872380049644	PDGFA;IRS2;BRCA1;PTGS2;HOXD10;CCND2;CCND1;STMN1;ERBB2;E2F1;E2F2;BAK1;PAK4;CDKN2A;HMGA2;PRKCA;CDC25B;EFNA3;CCNE2;SPRY2;VIM;EZR;ZFPM2;FGFR3;MET;EZH2
Malaria	11/50	1.000328760578994E-8	1.1685658703127338E-7	0	0	12.683209263854424	233.62917960425312	IL6;CR1;LRP1;HGF;IL18;PECAM1;CCL2;SDC1;CD36;MET;SELE
Epstein-Barr virus infection	20/202	2.7805963502654162E-8	3.1070141826878786E-7	0	0	5.00917905623788	87.14977398494756	JUN;STAT1;TAP1;GADD45G;SAP30;CCNA2;CXCL10;IL6;CCND2;CCND1;CCNE2;IRF7;E2F1;E2F2;FADD;CALR;BAK1;VIM;NFKBIE;IKBKE
Prolactin signaling pathway	12/70	4.203848384490106E-8	4.5016209783914886E-7	0	0	9.316078681213666	158.23061857335978	STAT5A;SOCS3;STAT5B;CCND2;SHC3;CCND1;CISH;STAT1;ELF5;TNFSF11;FOS;ESR1
Viral protein interaction with cytokine and cytokine receptor	14/100	4.595938742503624E-8	4.724625027293725E-7	0	0	7.353531538337021	124.24164882002383	CCL14;CCL13;CCL21;IL18;CXCR4;IL2RG;CXCL10;IL6;CXCL12;CXCR2;LTA;CCL2;CCL19;CCL16
Human immunodeficiency virus 1 infection	20/212	6.247008071933735E-8	6.174927209565269E-7	0	0	4.745833333333334	78.72662691530225	JUN;CXCR4;TAP1;PRKCA;FOS;GNG13;CCNB2;GNG2;GNG7;CHEK1;CFL1;RAC3;ELOB;FADD;CALR;BAK1;PAK3;PAK5;AP1M2;PAK4
Cellular senescence	17/156	7.60003910508156E-8	7.234111296318375E-7	0	0	5.548174544476568	90.94860296994018	CDKN2A;GATA4;FOXO1;GADD45G;TGFBR2;PPP1CA;CCNA2;CCNB2;IL6;CCND2;CCND1;CCNE2;CHEK1;MAPKAPK2;E2F1;E2F2;E2F5
Regulation of actin cytoskeleton	20/218	9.914365631530551E-8	8.820722869898733E-7	0	0	4.600594177064766	74.19238355053962	CYFIP2;VAV3;PDGFA;CXCR4;FGF1;FGF2;MYLK;VAV2;PPP1CA;FGF7;CXCL12;CFL1;RAC3;EZR;PAK3;FGFR4;FGFR3;PAK5;ARHGEF6;PAK4
Chemical carcinogenesis	21/239	9.953344872648375E-8	8.820722869898733E-7	0	0	4.393251254976631	70.83138867929497	STAT5A;STAT5B;JUN;PRKCA;ADRB1;FOS;ADRB2;PTGS2;KLF4;FGF2;ESR1;ADCY5;RPS6KA3;FGF7;CCND1;E2F1;TNFSF11;PPARA;KPNA2;IKBKE;RXRG
Human papillomavirus infection	25/331	1.1843351555251549E-7	1.0145804498998826E-6	0	0	3.7443588546529725	59.7184576725568	MAML2;LAMA1;LAMC1;PTGS2;FOXO1;VTN;PARD6B;CCND2;TERT;CCND1;E2F1;FADD;BAK1;IKBKE;TCF7L2;VWF;STAT1;MX1;TUBG1;COL1A1;CCNA2;COL1A2;COL2A1;DLG2;CCNE2
Human cytomegalovirus infection	20/225	1.664223064136732E-7	1.379694604784323E-6	0	0	4.4418938307030125	69.33235376058796	CDKN2A;CXCR4;TAP1;PRKCA;PTGS2;GNG13;ADCY5;IL6;CXCL12;GNG2;CCND1;GNG7;CXCR2;E2F1;RAC3;CCL2;E2F2;FADD;CALR;BAK1
Cytokine-cytokine receptor interaction	23/295	2.168438241100024E-7	1.7415269623834568E-6	0	0	3.863857332032339	59.28736864960203	CCL14;NGFR;CCL13;CCL21;IL18;CXCR4;LIFR;INHBA;IL2RG;TGFBR2;CXCL10;BMP2;IL6;CXCL12;CXCR2;LEPR;LTA;TNFSF11;CCL2;CCL19;BMPR1B;TNFRSF4;CCL16
Fluid shear stress and atherosclerosis	15/139	5.042952487432352E-7	3.8118787919709248E-6	0	0	5.466335333833459	79.26243045351933	MEF2C;JUN;CAV2;DUSP1;CAV1;PDGFA;FOS;SELE;CDH5;KDR;PECAM1;SDC1;RAC3;CCL2;BMPR1B
Measles	15/139	5.042952487432352E-7	3.8118787919709248E-6	0	0	5.466335333833459	79.26243045351933	STAT5A;STAT5B;JUN;STAT1;MX1;FOS;IL2RG;IL6;CCND2;CCND1;CCNE2;IRF7;FADD;BAK1;IKBKE
Hepatitis B	16/162	7.069571431314298E-7	5.191085308136498E-6	0	0	4.958073889580739	70.21770897691417	STAT5A;STAT5B;EGR2;JUN;STAT1;PRKCA;FOS;TGFBR2;CCNA2;IL6;CCNE2;IRF7;E2F1;E2F2;FADD;IKBKE
Chronic myeloid leukemia	11/76	9.120988874763966E-7	6.511372613373165E-6	0	0	7.599787309464729	105.69417442127241	STAT5A;STAT5B;SHC3;CCND1;MECOM;CDKN2A;E2F1;E2F2;BAK1;TGFBR2;GADD45G
Thyroid cancer	8/37	1.236002744182705E-6	8.585208250133922E-6	0	0	12.326047502564506	167.67896467290223	RET;TCF7L2;CCND1;TPM3;PPARG;BAK1;RXRG;GADD45G
Glutamatergic synapse	13/114	1.5512647440488906E-6	1.0491448400541181E-5	0	0	5.796250458379172	77.53319645741647	GRIA2;PLA2G4A;PRKCA;PLD1;GRIN2C;GNG13;GRIN2D;ADCY5;GRK3;GNG2;GNG7;HOMER3;GRIA4
Viral carcinogenesis	17/203	3.188504272152605E-6	2.101142558828768E-5	0	0	4.13617978092654	52.3473201991464	STAT5A;STAT5B;EGR2;JUN;CDKN2A;H4-16;CDC20;C3;CCNA2;CCND2;CCND1;CCNE2;CHEK1;MAPKAPK2;IRF7;PMAIP1;BAK1
Axon guidance	16/182	3.3093000935859207E-6	2.126225310128954E-5	0	0	4.35622209116185	54.97018137835339	NRP1;CXCR4;PRKCA;SEMA3F;RND1;EFNA3;PARD6B;CXCL12;DPYSL2;CFL1;RAC3;BMPR1B;PAK3;MET;PAK5;PAK4
Insulin resistance	12/108	5.1417363925796654E-6	3.222990860714571E-5	0	0	5.617494226327945	68.4105171920333	RPS6KA3;SOCS3;IL6;SLC27A6;IRS2;SLC2A4;CD36;PPARA;PPARGC1A;FOXO1;AGT;PPP1CA
Glioma	10/75	6.122426111034644E-6	3.6409157287553604E-5	0	0	6.893015030946065	82.7406651646292	SHC3;CCND1;CDKN2A;E2F1;PDGFA;E2F2;PRKCA;BAK1;CAMK1;GADD45G
Small cell lung cancer	11/92	6.222434268720026E-6	3.6409157287553604E-5	0	0	6.0935882118677815	73.04597078968871	CCND1;CCNE2;LAMA1;E2F1;RARB;E2F2;LAMC1;BAK1;PTGS2;RXRG;GADD45G
Relaxin signaling pathway	13/129	6.233474399425519E-6	3.6409157287553604E-5	0	0	5.042844029374201	60.44139386038344	JUN;SHC3;PRKCA;FOS;GNG13;TGFBR2;ADCY5;COL1A1;ACTA2;COL3A1;COL1A2;GNG2;GNG7
FoxO signaling pathway	13/131	7.3862781285951476E-6	4.1999611950189004E-5	0	0	4.956862052730696	58.5697198377914	PLK4;IRS2;SLC2A4;FOXO1;GADD45G;TGFBR2;CCNB2;IL6;CCND2;CCND1;S1PR1;HOMER3;SGK1
TNF signaling pathway	12/112	7.5174402712400545E-6	4.1999611950189004E-5	0	0	5.391685912240185	63.61264630821605	SOCS3;CXCL10;JUN;IL6;MMP14;BCL3;LTA;CCL2;FADD;FOS;PTGS2;SELE
Circadian entrainment	11/97	1.0423553536281957E-5	5.6996877847328996E-5	0	0	5.73783624477548	65.82125883994082	PER2;GRIA2;GNG2;GNG7;PRKCA;FOS;GRIN2C;GRIA4;GNG13;GRIN2D;ADCY5
Adipocytokine signaling pathway	9/69	2.1418224350333867E-5	1.1008967316071608E-4	0	0	6.706995412844036	72.1087077953845	SOCS3;LEPR;IRS2;SLC2A4;CD36;PPARA;NFKBIE;PPARGC1A;RXRG
Amphetamine addiction	9/69	2.1418224350333867E-5	1.1008967316071608E-4	0	0	6.706995412844036	72.1087077953845	GRIA2;JUN;PRKCA;FOS;GRIN2C;ADCY5;GRIA4;GRIN2D;PPP1CA
Renal cell carcinoma	9/69	2.1418224350333867E-5	1.1008967316071608E-4	0	0	6.706995412844036	72.1087077953845	ARNT2;JUN;EPAS1;HGF;ELOB;PAK3;MET;PAK5;PAK4
Parathyroid hormone synthesis, secretion and action	11/106	2.4356881125893367E-5	1.227395774383254E-4	0	0	5.191850594227504	55.151451349402365	EGR1;MEF2C;MMP14;TNFSF11;PRKCA;GATA3;FOS;PLD1;RXRG;RUNX2;ADCY5
Th17 cell differentiation	11/107	2.6613502646005805E-5	1.3123340299392149E-4	0	0	5.1375048003072195	54.11894746012494	STAT5A;STAT5B;JUN;IL6;STAT1;GATA3;FOS;NFKBIE;IL2RG;RXRG;TGFBR2
Adherens junction	9/71	2.7063697893688086E-5	1.3123340299392149E-4	0	0	6.4899748446285885	68.25712463995794	TCF7L2;PTPRB;ERBB2;RAC3;MET;SSX2IP;NECTIN3;NECTIN2;TGFBR2
cAMP signaling pathway	16/216	2.8733263751799475E-5	1.367490515594901E-4	0	0	3.6093240093240095	37.74434373491854	VAV3;GRIA2;JUN;ADRB1;FOS;ADRB2;GRIN2C;PLD1;SSTR2;GRIN2D;VAV2;ADCY5;PPP1CA;RAC3;PPARA;GRIA4
JAK-STAT signaling pathway	13/162	7.080803110465497E-5	3.3086661807084236E-4	0	0	3.9193077305493413	37.45109446253128	STAT5A;STAT5B;CISH;STAT1;PDGFA;LIFR;IL2RG;GFAP;SOCS3;IL6;CCND2;CCND1;LEPR
Progesterone-mediated oocyte maturation	10/100	7.802010323716391E-5	3.580565452134129E-4	0	0	4.971902937420179	47.02696284981891	CCNA2;RPS6KA3;CCNB2;KIF22;PKMYT1;BUB1;CDC25B;ADCY5;AURKA;MAD2L1
Lipid and atherosclerosis	15/215	1.0006259439778779E-4	4.51159416846166E-4	0	0	3.375872093023256	31.09081858326051	VAV3;JUN;IL18;PRKCA;FOS;SELE;VAV2;IL6;IRF7;CCL2;PPARG;CD36;APOB;IKBKE;RXRG
Hepatocellular carcinoma	13/168	1.0259232431144448E-4	4.545901266903661E-4	0	0	3.7664277180406214	34.59368734048584	TCF7L2;SHC3;CDKN2A;HGF;PRKCA;GADD45G;TGFBR2;CCND1;TERT;E2F1;E2F2;BAK1;MET
ErbB signaling pathway	9/85	1.1375662442763769E-4	4.955161436932693E-4	0	0	5.290650651859005	48.04677547423861	STAT5A;STAT5B;JUN;SHC3;ERBB2;PRKCA;PAK3;PAK5;PAK4
Acute myeloid leukemia	8/67	1.1657956500225636E-4	4.993491367596647E-4	0	0	6.04925726253733	54.787739241822784	CCNA2;STAT5A;PER2;STAT5B;TCF7L2;CCND1;KIT;RUNX1T1
Colorectal cancer	9/86	1.2459380672708188E-4	5.249280053911483E-4	0	0	5.221672822590254	46.94519708584114	TCF7L2;JUN;CCND1;RAC3;PMAIP1;FOS;BAK1;TGFBR2;GADD45G
Influenza A	13/172	1.3005957059262095E-4	5.391178974565095E-4	0	0	3.670917773119031	32.84560276758006	STAT1;MX1;IL18;PRKCA;SOCS3;CXCL10;IL6;IRF7;CCL2;FADD;BAK1;KPNA2;IKBKE
ECM-receptor interaction	9/88	1.4886969301399885E-4	6.072938270571064E-4	0	0	5.088955986528858	44.84611511174764	COL1A1;VTN;COL2A1;COL1A2;VWF;LAMA1;SDC1;LAMC1;CD36
Oxytocin signaling pathway	12/154	1.7615236314629695E-4	7.073618332593487E-4	0	0	3.788764922096087	32.75069487846591	RCAN1;MEF2C;JUN;CCND1;PLA2G4A;PRKCA;FOS;CAMK1;PTGS2;MYLK;ADCY5;PPP1CA
Vascular smooth muscle contraction	11/133	1.9349179865813613E-4	7.65036803925246E-4	0	0	4.0372252020850645	34.51938745314002	ACTA2;PPP1R14A;PLA2G2A;PLA2G4A;PRKCA;ADRA1A;RAMP1;AGT;MYLK;ADCY5;PPP1CA
Th1 and Th2 cell differentiation	9/92	2.0935467960197837E-4	8.08563055045981E-4	0	0	4.842710290704101	41.02492682509759	STAT5A;STAT5B;JUN;MAML2;STAT1;FOS;GATA3;IL2RG;NFKBIE
Hepatitis C	12/157	2.109849431413076E-4	8.08563055045981E-4	0	0	3.709803296965836	31.398750407967267	SOCS3;CXCL10;CCND1;STAT1;MX1;IRF7;E2F1;E2F2;FADD;BAK1;PPARA;IKBKE
p53 signaling pathway	8/73	2.139388628137226E-4	8.08563055045981E-4	0	0	5.489174441119522	46.38253746662005	CCNB2;CCND2;CCND1;CCNE2;CDKN2A;CHEK1;PMAIP1;GADD45G
Rheumatoid arthritis	9/93	2.2730628364187952E-4	8.466335492168557E-4	0	0	4.784813237221494	40.140813502030255	JUN;IL6;CXCL12;IL18;CTLA4;TNFSF11;CCL2;FOS;TEK
Coronavirus disease	15/232	2.3102462933108906E-4	8.481904248298555E-4	0	0	3.1086700246490193	26.02885131822285	NRP1;JUN;VWF;STAT1;MX1;F13A1;PRKCA;FOS;C4B;C3;C4A;CXCL10;IL6;CCL2;IKBKE
IL-17 signaling pathway	9/94	2.465172837946271E-4	8.923231258481572E-4	0	0	4.7282784673502425	39.282908440785896	CXCL10;JUN;IL6;CCL2;FOS;FADD;PTGS2;IKBKE;MAPK15
Bladder cancer	6/41	2.7258885809523987E-4	9.596621442531047E-4	0	0	7.62251871135698	62.562172290537674	CCND1;CDKN2A;ERBB2;E2F1;E2F2;FGFR3
Homologous recombination	6/41	2.7258885809523987E-4	9.596621442531047E-4	0	0	7.62251871135698	62.562172290537674	BARD1;BLM;RAD51;BRCA1;BRCA2;RAD54B
Pertussis	8/76	2.8320503340454185E-4	9.835634268238818E-4	0	0	5.246197334769148	42.857966707670236	C4B;C3;C4A;JUN;IL6;CFL1;SERPING1;FOS
Hippo signaling pathway	12/163	2.985021579566358E-4	0.001022867394598072	0	0	3.5612926907605953	28.90606331539433	YAP1;TCF7L2;BMP2;PARD6B;CCND2;DLG2;CCND1;FGF1;BMPR1B;TEAD1;TGFBR2;PPP1CA
Prostate cancer	9/97	3.123964221297226E-4	0.0010563931643070884	0	0	4.566383444537114	36.856365721208654	TCF7L2;CCND1;CCNE2;ERBB2;E2F1;PDGFA;E2F2;ERG;FOXO1
Growth hormone synthesis, secretion and action	10/119	3.299423864094221E-4	0.001101236276717162	0	0	4.101233786776336	32.87792003789834	STAT5A;SOCS3;STAT5B;SHC3;STAT1;IRS2;PRKCA;FOS;SSTR2;ADCY5
Apoptosis	11/142	3.4209207485941603E-4	0.0011271495287034604	0	0	3.758117282864882	29.991394284330557	SPTA1;NGFR;JUN;PARP1;PMAIP1;GZMB;FADD;FOS;BAK1;GADD45G;LMNB1
AMPK signaling pathway	10/120	3.5293607491764206E-4	0.0011481591297953673	0	0	4.063740856844305	32.30358475730007	CCNA2;CCND1;LEPR;IRS2;PPARG;SLC2A4;CD36;PPARGC1A;ADRA1A;FOXO1
NF-kappa B signaling pathway	9/104	5.240189213749323E-4	0.001662627935720464	0	0	4.228392081120232	31.94120090360334	CCL13;CXCL12;PARP1;CCL21;LTA;TNFSF11;CCL19;PTGS2;GADD45G
T cell receptor signaling pathway	9/104	5.240189213749323E-4	0.001662627935720464	0	0	4.228392081120232	31.94120090360334	VAV3;JUN;CTLA4;FOS;NFKBIE;PAK3;PAK5;VAV2;PAK4
Oocyte meiosis	10/129	6.266959324134996E-4	0.001964156763783773	0	0	3.7546604848836087	27.69080539695181	CDC20;RPS6KA3;CCNB2;CCNE2;PKMYT1;BUB1;ADCY5;AURKA;PPP1CA;MAD2L1
Morphine addiction	8/91	9.560505750328093E-4	0.0029603011781136382	0	0	4.294780954481542	29.86032244086241	GRK3;GNG2;GRK5;PDE1A;GNG7;PRKCA;ADCY5;GNG13
Apelin signaling pathway	10/137	9.990710404344939E-4	0.003020720675196058	0	0	3.516698343741515	24.295759937469327	ACTA2;EGR1;MEF2C;GNG2;CCND1;GNG7;PPARGC1A;MYLK;GNG13;ADCY5
Yersinia infection	10/137	9.990710404344939E-4	0.003020720675196058	0	0	3.516698343741515	24.295759937469327	VAV3;RPS6KA3;JUN;IL6;IL18;RAC3;CCL2;FOS;SKAP2;VAV2
Leukocyte transendothelial migration	9/114	0.0010178460911439476	0.0030417028537673783	0	0	3.823722149410223	26.34570011548479	VAV3;CDH5;CXCL12;PECAM1;RHOH;CXCR4;PRKCA;EZR;VAV2
Fanconi anemia pathway	6/54	0.0012279492919923885	0.0036273904372648717	0	0	5.554384965831435	37.22776391289201	BLM;RAD51;FANCD2;FANCA;BRCA1;BRCA2
Endocytosis	14/252	0.001619699394113305	0.004730258457808174	0	0	2.6364132660024566	16.940312212175606	CAV2;CAV1;CBLC;CXCR4;PLD1;IL2RG;TGFBR2;GRK3;PARD6B;GRK5;BIN1;CXCR2;FGFR4;FGFR3
Cell adhesion molecules	10/148	0.0017894062646849503	0.005167161910382385	0	0	3.234549391970681	20.461343522445418	CDH5;CNTNAP2;VCAN;CNTN1;PECAM1;SDC1;CTLA4;SELE;NECTIN3;NECTIN2
VEGF signaling pathway	6/59	0.0019518113764637954	0.005573505819457727	0	0	5.029097004340912	31.376523268055074	MAPKAPK2;KDR;RAC3;PLA2G4A;PRKCA;PTGS2
Amoebiasis	8/102	0.0019973345893557893	0.005579510755048238	0	0	3.790057938555918	23.558779157585644	COL1A1;IL6;COL3A1;COL1A2;LAMA1;PRKCA;CTSG;LAMC1
Chagas disease	8/102	0.0019973345893557893	0.005579510755048238	0	0	3.790057938555918	23.558779157585644	C3;JUN;IL6;CCL2;FADD;CALR;FOS;TGFBR2
Diabetic cardiomyopathy	12/203	0.0020443586908090814	0.00564946433911757	0	0	2.8096683312576327	17.399351980353956	COL1A1;COL3A1;COL1A2;PARP1;CMA1;PRKCA;CD36;SLC2A4;PPARA;AGT;PPP1CA;TGFBR2
Osteoclast differentiation	9/127	0.00216305050509642	0.005913872125635957	0	0	3.4001904835950865	20.864370513516075	SOCS3;JUN;STAT1;SIRPA;TNFSF11;MITF;PPARG;FOS;TGFBR2
C-type lectin receptor signaling pathway	8/104	0.0022577980971071826	0.006044313655797354	0	0	3.7107170099160944	22.610754021233255	EGR2;JUN;IL6;STAT1;MAPKAPK2;BCL3;PTGS2;IKBKE
Toll-like receptor signaling pathway	8/104	0.0022577980971071826	0.006044313655797354	0	0	3.7107170099160944	22.610754021233255	CXCL10;JUN;IL6;STAT1;IRF7;FADD;FOS;IKBKE
Cushing syndrome	10/155	0.0025137078388231256	0.006660030047191168	0	0	3.0772889417360285	18.420640493884935	NR4A1;TCF7L2;CDKN2C;CCND1;CCNE2;CDKN2A;E2F1;E2F2;AGT;ADCY5
Cytosolic DNA-sensing pathway	6/63	0.002732446261214083	0.0071657009095104016	0	0	4.675218798705191	27.595750143714056	CXCL10;IL6;IL18;IRF7;POLR2H;IKBKE
Dopaminergic synapse	9/132	0.0028111219654525336	0.0072975590416293045	0	0	3.2611322443499664	19.15645041153128	GRIA2;GNG2;GNG7;PRKCA;FOS;GRIA4;GNG13;ADCY5;PPP1CA
HIF-1 signaling pathway	8/109	0.003026224656439464	0.007777397367049422	0	0	3.526111878922446	20.452998357075565	IL6;ERBB2;PRKCA;ELOB;TIMP1;TEK;ENO2;ALDOA
Inflammatory bowel disease	6/65	0.003200716205075849	0.008144396680242506	0	0	4.516273502953554	25.943194256562485	JUN;IL6;STAT1;IL18;GATA3;IL2RG
Long-term potentiation	6/67	0.0037263365611609617	0.009388906825670265	0	0	4.367750849546287	24.425902724484565	RPS6KA3;GRIA2;PRKCA;GRIN2C;GRIN2D;PPP1CA
Serotonergic synapse	8/113	0.003776183348047503	0.009422127382992312	0	0	3.3910864116813775	18.91901173852446	GNG2;DUSP1;GNG7;PLA2G4A;PRKCA;PTGS2;GNG13;ADCY5
Neuroactive ligand-receptor interaction	16/341	0.0042727357732064535	0.010457973137010426	0	0	2.2067778375470684	12.039078612565683	OPRD1;GRIA2;ADRB1;ADRB2;GRIN2C;SSTR2;ADRA1A;AGT;GRIN2D;C3;PYY;LEPR;S1PR1;CTSG;F2RL2;GRIA4
