Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Human T-cell leukemia virus 1 infection,14/219,4.067394310681299E-8,8.171764933277881E-7,0,0,7.273541887592789,123.77879498474726,STAT5A;STAT5B;EGR1;NRP1;JUN;PIK3R1;FOS;ETS2;TGFBR2;ZFP36;CCND2;CCND1;E2F2;CALR
Transcriptional misregulation in cancer,13/192,6.417339758929623E-8,1.0989921497899745E-6,0,0,7.703427449796165,127.581677831904,MEF2C;ZBTB16;LMO2;RUNX2;FOXO1;FLI1;TGFBR2;CCND2;MAF;BCL6;PLAU;PPARG;MET
Kaposi sarcoma-associated herpesvirus infection,13/193,6.821711373153906E-8,1.0989921497899745E-6,0,0,7.66024024024024,126.39833312826295,TCF7L2;JUN;STAT1;PIK3R1;FOS;C3;RCAN1;ZFP36;GNG2;CCND1;MAPKAPK2;E2F2;FADD
Chagas disease,10/102,6.961941220388979E-8,1.0989921497899745E-6,0,0,11.395698427382055,187.80364445831427,C3;JUN;PPP2R1B;CCL2;PIK3R1;FADD;CALR;FOS;TLR4;TGFBR2
FoxO signaling pathway,11/131,7.644301833884785E-8,1.126260470192358E-6,0,0,9.648039215686275,158.09971941456888,CCND2;CCND1;BCL6;PLK1;S1PR1;IRS2;PIK3R1;SGK1;FOXO1;EGFR;TGFBR2
Complement and coagulation cascades,9/85,1.638206641534491E-7,2.2627729236195156E-6,0,0,12.359649122807017,193.1132576127208,C3;F8;VWF;CFH;PLAU;PROS1;F13A1;SERPING1;A2M
AMPK signaling pathway,10/120,3.251960495013749E-7,4.2275486435178735E-6,0,0,9.522243713733076,142.2512524961279,SREBF1;CCND1;PPP2R1B;LEP;LEPR;IRS2;PPARG;PIK3R1;CD36;FOXO1
Non-small cell lung cancer,8/72,5.574161685367377E-7,6.791497589246522E-6,0,0,12.985526315789473,186.99097791561474,STAT5A;STAT5B;CCND1;HGF;E2F2;PIK3R1;MET;EGFR
Malaria,7/50,5.838844081252666E-7,6.791497589246522E-6,0,0,16.84074028978449,241.72462343214116,LRP1;HGF;PECAM1;CCL2;CD36;MET;TLR4
Estrogen signaling pathway,10/137,1.1108687111558705E-6,1.227509925827237E-5,0,0,8.240492544814877,112.98018715356785,JUN;KRT19;KRT18;KRT15;PIK3R1;FOS;FKBP4;ESR1;CTSD;EGFR
Measles,10/139,1.2686180999799613E-6,1.335069524264626E-5,0,0,8.111908296222992,110.14010299009385,STAT5A;STAT5B;JUN;CCND2;CCND1;STAT1;PIK3R1;FADD;FOS;TLR4
TNF signaling pathway,9/112,1.7374931114460933E-6,1.7453908074072117E-5,0,0,9.107258437355524,120.79018088235966,SOCS3;CXCL10;JUN;MMP14;BCL3;CCL2;PIK3R1;FADD;FOS
Breast cancer,10/147,2.1118671207803446E-6,2.0292288421411135E-5,0,0,7.635114148159652,99.775199153965,TCF7L2;JUN;CCND1;FZD4;KIT;E2F2;PIK3R1;FOS;ESR1;EGFR
MicroRNAs in cancer,14/310,2.7281146185959894E-6,2.5121388779571405E-5,0,0,5.014027614571093,64.23921940862009,IRS2;PIK3R1;EGFR;CDC25B;EFNA1;ZEB2;CCND2;CCND1;PLAU;E2F2;VIM;EZR;FGFR3;MET
Coronavirus disease,12/232,3.6134121433963535E-6,3.1942563347623765E-5,0,0,5.742521994134897,71.95872789982765,C3;NRP1;CXCL10;JUN;VWF;STAT1;F13A1;CCL2;PIK3R1;FOS;TLR4;EGFR
Acute myeloid leukemia,7/67,4.410731084935471E-6,3.749121422195151E-5,0,0,12.058813263525305,148.70289524102333,STAT5A;STAT5B;TCF7L2;CCND1;ZBTB16;KIT;PIK3R1
Hepatitis B,10/162,5.056215550957711E-6,4.1386060620802005E-5,0,0,6.876399776035834,83.85695446955533,STAT5A;STAT5B;JUN;STAT1;E2F2;PIK3R1;FADD;FOS;TLR4;TGFBR2
Hippo signaling pathway,10/163,5.340875591079926E-6,4.215476805816656E-5,0,0,6.831108329856765,82.9304813474678,YAP1;TCF7L2;PARD6B;CCND2;CCND1;PPP2R1B;FZD4;BMPR1B;TEAD1;TGFBR2
Epstein-Barr virus infection,11/202,5.683449933635078E-6,4.331180811494318E-5,0,0,6.0397289805974745,72.9475574872952,CXCL10;JUN;CCND2;CCND1;STAT1;E2F2;TAP1;VIM;PIK3R1;CALR;FADD
Toll-like receptor signaling pathway,8/104,9.157633800713984E-6,6.746123566525968E-5,0,0,8.64298245614035,100.26657164207714,CXCL10;JUN;STAT1;SPP1;PIK3R1;FADD;FOS;TLR4
Pancreatic cancer,7/76,1.0286135113750025E-5,7.333018903673405E-5,0,0,10.481144244631611,120.3729406360067,CCND1;STAT1;E2F2;PIK3R1;EGFR;TGFBR2;ARHGEF6
Axon guidance,10/182,1.4092959574522636E-5,9.732950206154695E-5,0,0,6.070633349826818,67.80797411505942,EFNA1;NRP1;ABLIM1;PARD6B;CXCL12;DPYSL2;CXCR4;PIK3R1;BMPR1B;MET
Human cytomegalovirus infection,11/225,1.5726689369269115E-5,1.0532116213965075E-4,0,0,5.384277075316108,59.55091925069347,GNG2;CXCL12;CCND1;E2F2;CXCR4;TAP1;CCL2;PIK3R1;CALR;FADD;EGFR
Gastric cancer,9/149,1.8007135619051358E-5,1.1704638152383382E-4,0,0,6.687755102040816,73.06200209419822,TCF7L2;CCND1;FZD4;HGF;E2F2;PIK3R1;MET;EGFR;TGFBR2
Chemokine signaling pathway,10/192,2.2389170152187226E-5,1.4137161724666792E-4,0,0,5.734159457563713,61.395262220762454,STAT5B;CXCL10;GRK3;CXCL12;CCL11;GNG2;STAT1;CXCR4;CCL2;PIK3R1
Colorectal cancer,7/86,2.325992265067654E-5,1.427900807166532E-4,0,0,9.149777983961826,97.61695679717262,TCF7L2;JUN;CCND1;FOS;PIK3R1;EGFR;TGFBR2
"Growth hormone synthesis, secretion and action",8/119,2.4573751710280834E-5,1.4337693738598764E-4,0,0,7.4693219535324795,79.27812604071747,STAT5A;GHR;SOCS3;STAT5B;STAT1;IRS2;PIK3R1;FOS
Non-alcoholic fatty liver disease,9/155,2.4653048057319144E-5,1.4337693738598764E-4,0,0,6.410958904109589,68.02418473240843,SOCS3;SREBF1;JUN;LEP;LEPR;IRS2;PPARG;PIK3R1;FOS
ECM-receptor interaction,7/88,2.7027255979773098E-5,1.4823324570679747E-4,0,0,8.9229526210329,93.85754693675439,COL1A2;VWF;LAMA4;LAMA3;SPP1;LAMC1;CD36
Hepatitis C,9/157,2.728663898215993E-5,1.4823324570679747E-4,0,0,6.3236808236808235,66.45627881917045,SOCS3;CXCL10;CCND1;PPP2R1B;STAT1;E2F2;PIK3R1;FADD;EGFR
Chemical carcinogenesis,11/239,2.750028540261853E-5,1.4823324570679747E-4,0,0,5.050051599587204,53.03217844757278,STAT5A;STAT5B;RPS6KA3;JUN;CCND1;BCL6;PIK3R1;FOS;KLF4;ESR1;EGFR
Th1 and Th2 cell differentiation,7/92,3.6075450769441165E-5,1.8982558619158328E-4,0,0,8.501324299353248,86.96768009059814,STAT5A;STAT5B;JUN;MAF;MAML2;STAT1;FOS
Osteoclast differentiation,8/127,3.926506216567808E-5,2.018041567119734E-4,0,0,6.964352056612118,70.65457342566314,SOCS3;JUN;STAT1;SIRPA;PPARG;PIK3R1;FOS;TGFBR2
IL-17 signaling pathway,7/94,4.145494513554313E-5,2.0821688352170526E-4,0,0,8.30504904615755,83.80544748983375,CXCL10;JUN;CCL11;CCL2;FOS;FADD;S100A8
Relaxin signaling pathway,8/129,4.390709481251722E-5,2.1563262119036236E-4,0,0,6.848542844715094,68.7144069973048,ACTA2;JUN;COL1A2;GNG2;PIK3R1;FOS;EGFR;TGFBR2
Hepatocellular carcinoma,9/168,4.644070805748099E-5,2.231173147978978E-4,0,0,5.882899071578317,58.69564983454075,TCF7L2;CCND1;FZD4;HGF;E2F2;PIK3R1;MET;EGFR;TGFBR2
Prostate cancer,7/97,5.074437743203834E-5,2.386065406910739E-4,0,0,8.026992437463642,79.37659826470869,TCF7L2;CCND1;PLAU;E2F2;PIK3R1;FOXO1;EGFR
Human immunodeficiency virus 1 infection,10/212,5.202928320463965E-5,2.3955149142136173E-4,0,0,5.161154413313672,50.90809870522642,JUN;GNG2;CXCR4;TAP1;ELOB;PIK3R1;CALR;FADD;FOS;TLR4
Renal cell carcinoma,6/69,6.229592696368359E-5,2.809673440606954E-4,0,0,9.791170634920634,94.81392205074602,JUN;EPAS1;HGF;ELOB;PIK3R1;MET
Insulin signaling pathway,8/137,6.731255756336369E-5,2.975215044300675E-4,0,0,6.421215830273358,61.68325072609794,SOCS3;SREBF1;PRKAR2B;IRS2;PIK3R1;SORBS1;FOXO1;RHOQ
Adherens junction,6/71,7.321633333453424E-5,3.1727077778298166E-4,0,0,9.488942307692307,90.35458191078816,TCF7L2;PTPRB;SORBS1;MET;EGFR;TGFBR2
Melanoma,6/72,7.922093534847752E-5,3.366889752310295E-4,0,0,9.344696969696969,88.24449616864777,CCND1;HGF;E2F2;PIK3R1;MET;EGFR
Insulin resistance,7/108,1.0051707957585399E-4,4.1913725634459874E-4,0,0,7.148774039707636,65.80577253824497,RPS6KA3;SOCS3;SREBF1;IRS2;PIK3R1;CD36;FOXO1
Chronic myeloid leukemia,6/76,1.0727971646285191E-4,4.3905217293130133E-4,0,0,8.808928571428572,80.51423224167704,STAT5A;STAT5B;CCND1;E2F2;PIK3R1;TGFBR2
Ras signaling pathway,10/232,1.1014705550991237E-4,4.425908957761934E-4,0,0,4.691393521180755,42.75592600230843,EFNA1;GNG2;HGF;KIT;KDR;PIK3R1;FGFR3;MET;EGFR;ETS2
Oxytocin signaling pathway,8/154,1.522827581299836E-4,6.009730276201139E-4,0,0,5.668637346791637,49.82602707621736,RCAN1;RGS2;MEF2C;JUN;CCND1;FOS;EGFR;MYLK
Cytokine-cytokine receptor interaction,11/295,1.8048411411090162E-4,6.99771740675601E-4,0,0,4.042667771333885,34.847261726106964,GHR;CXCL10;CCL11;CXCL12;LEP;LEPR;CXCR4;CCL2;LIFR;BMPR1B;TGFBR2
Viral carcinogenesis,9/203,1.970083802930587E-4,7.506698628407926E-4,0,0,4.812960235640648,41.065448750501595,C3;STAT5A;STAT5B;JUN;GSN;CCND2;CCND1;MAPKAPK2;PIK3R1
Thyroid hormone signaling pathway,7/121,2.0433005692428315E-4,7.653719081401114E-4,0,0,6.329383668595573,53.7730128624302,RCAN1;THRB;CCND1;STAT1;PIK3R1;ESR1;FOXO1
Rap1 signaling pathway,9/210,2.534783601769735E-4,9.289457028272671E-4,0,0,4.6436863302534945,38.45080062695997,EFNA1;PARD6B;HGF;KIT;KDR;PIK3R1;FGFR3;MET;EGFR
PD-L1 expression and PD-1 checkpoint pathway in cancer,6/89,2.564058274772095E-4,9.289457028272671E-4,0,0,7.424322289156627,61.38985828448088,JUN;STAT1;FOS;PIK3R1;TLR4;EGFR
Small cell lung cancer,6/92,3.070183682408807E-4,0.0010943719255037845,0,0,7.164244186046512,57.94872687817255,CCND1;LAMA4;LAMA3;E2F2;LAMC1;PIK3R1
Regulation of actin cytoskeleton,9/218,3.3383726764794056E-4,0.001171079938891982,0,0,4.464114832535885,35.73460044787522,GSN;CXCL12;CXCR4;PIK3R1;EZR;FGFR3;EGFR;MYLK;ARHGEF6
Apelin signaling pathway,7/137,4.3591406257180736E-4,0.001482107812744145,0,0,5.545871929118002,42.914319899590815,ACTA2;EGR1;MEF2C;GNG2;CCND1;SPP1;MYLK
Yersinia infection,7/137,4.3591406257180736E-4,0.001482107812744145,0,0,5.545871929118002,42.914319899590815,RPS6KA3;JUN;CCL2;PIK3R1;FOS;TLR4;SKAP2
Thyroid cancer,4/37,4.7655216121314E-4,0.0015957276913349083,0,0,12.351765073414558,94.47782809126898,TCF7L2;CCND1;TPM3;PPARG
Amoebiasis,6/102,5.343550611785118E-4,0.0017625741570216583,0,0,6.414713541666667,48.33133864532886,COL1A2;LAMA4;LAMA3;PIK3R1;LAMC1;TLR4
Adipocytokine signaling pathway,5/69,6.08016016401652E-4,0.001976052053305369,0,0,7.989799222797927,59.1669347580093,SOCS3;LEP;LEPR;IRS2;CD36
Central carbon metabolism in cancer,5/70,6.495881958179432E-4,0.002068725024346622,0,0,7.866480669589478,57.733454202659594,KIT;PIK3R1;MET;FGFR3;EGFR
"Parathyroid hormone synthesis, secretion and action",6/106,6.552522701550386E-4,0.002068725024346622,0,0,6.156875,45.132912165378904,EGR1;MEF2C;MMP14;FOS;RUNX2;EGFR
Th17 cell differentiation,6/107,6.885474200978229E-4,0.002143225068191815,0,0,6.095606435643564,44.38166162415926,STAT5A;STAT5B;JUN;STAT1;FOS;TGFBR2
Bladder cancer,4/41,7.085244863093272E-4,0.0021747765482550184,0,0,11.014210086375035,79.87864150321772,CCND1;E2F2;FGFR3;EGFR
HIF-1 signaling pathway,6/109,7.590568292184352E-4,0.0022979665651681395,0,0,5.976638349514563,42.93278658511529,TF;ELOB;PIK3R1;TIMP1;TLR4;EGFR
PPAR signaling pathway,5/74,8.374677947357063E-4,0.0025010862518458255,0,0,7.408950964932042,52.493364073000755,FABP4;LPL;PPARG;CD36;SORBS1
Cushing syndrome,7/155,9.07811592693854E-4,0.0026750181598045567,0,0,4.86691665487477,34.09018969907158,NR4A1;TCF7L2;RASD1;CCND1;FZD4;E2F2;EGFR
Cellular senescence,7/156,9.426415742604417E-4,0.0026783634200378053,0,0,4.834006816824203,33.67767682735449,CCND2;CCND1;MAPKAPK2;E2F2;PIK3R1;FOXO1;TGFBR2
Endocytosis,9/252,9.449728791938773E-4,0.0026783634200378053,0,0,3.832843425436018,26.693279706715014,PARD6B;ARF1;GRK3;CAV2;CAV1;CXCR4;FGFR3;EGFR;TGFBR2
Pertussis,5/76,9.453047364839312E-4,0.0026783634200378053,0,0,7.199518353645187,50.13746892512262,C3;JUN;SERPING1;FOS;TLR4
Leukocyte transendothelial migration,6/114,9.598081385557998E-4,0.002685032893934579,0,0,5.69849537037037,39.59757441415097,CDH5;CXCL12;PECAM1;CXCR4;PIK3R1;EZR
Leishmaniasis,5/77,0.001002937441275655,0.002770614681523997,0,0,7.099165227403569,49.018473262946344,C3;JUN;STAT1;FOS;TLR4
Lipid and atherosclerosis,8/215,0.0013911997289158538,0.0037957424702518973,0,0,3.9857615052123063,26.216700195423375,ABCA1;JUN;CCL2;PPARG;PIK3R1;CD36;FOS;TLR4
Tight junction,7/169,0.0014986757620709052,0.004003139800068973,0,0,4.443151703186607,28.894585906478202,JUN;PARD6B;CCND1;PPP2R1B;AMOTL2;EZR;MPDZ
Cholesterol metabolism,4/50,0.0015034416443697955,0.004003139800068973,0,0,8.855221873599282,57.55892773976394,ABCA1;LRP1;LPL;CD36
ErbB signaling pathway,5/85,0.001562453459054429,0.004110740648226533,0,0,6.386658031088083,41.26737785826921,STAT5A;STAT5B;JUN;PIK3R1;EGFR
Influenza A,7/172,0.0016573891814675628,0.004309211871815663,0,0,4.3617007774075836,27.925840246089752,SOCS3;CXCL10;STAT1;CCL2;PIK3R1;FADD;TLR4
NOD-like receptor signaling pathway,7/181,0.002212996683397085,0.0056868868259390215,0,0,4.1341999157489315,25.274049666928196,JUN;STAT1;TXNIP;CCL2;FADD;ANTXR2;TLR4
Rheumatoid arthritis,5/93,0.00232329953629025,0.005901714914024659,0,0,5.803697597739048,35.19807302902893,JUN;CXCL12;CCL2;FOS;TLR4
Staphylococcus aureus infection,5/95,0.00254940760683789,0.006402489558081518,0,0,5.674150834772597,33.885428788320105,C3;KRT19;KRT18;CFH;KRT15
Endometrial cancer,4/58,0.0026047593316359794,0.006467997890916308,0,0,7.5402825505918285,44.86781035657885,TCF7L2;CCND1;PIK3R1;EGFR
Signaling pathways regulating pluripotency of stem cells,6/143,0.003037471316447861,0.007458679565944192,0,0,4.485629562043796,26.001983063200683,FZD4;LIFR;PIK3R1;BMPR1B;KLF4;FGFR3
Viral protein interaction with cytokine and cytokine receptor,5/100,0.0031840642542200646,0.007732727474534442,0,0,5.374147804745023,30.899183186725125,CXCL10;CXCL12;CCL11;CXCR4;CCL2
Longevity regulating pathway,5/102,0.003467263580455342,0.00832897012261555,0,0,5.26280647401314,29.81058620377177,IRS2;PPARG;PIK3R1;CRYAB;FOXO1
C-type lectin receptor signaling pathway,5/104,0.0037681299884365417,0.008954373413381459,0,0,5.155963782906788,28.77634351264471,JUN;STAT1;MAPKAPK2;BCL3;PIK3R1
Inflammatory bowel disease,4/65,0.003939689946421906,0.009262462533608948,0,0,6.672638161230354,36.944083778601154,JUN;MAF;STAT1;TLR4
Toxoplasmosis,5/112,0.005160236038970023,0.012004338574867107,0,0,4.768534211418333,25.114787027074176,STAT1;LAMA4;LAMA3;LAMC1;TLR4
Glioma,4/75,0.006552757758754076,0.015084994423798447,0,0,5.7299259474372,28.809318682593226,CCND1;E2F2;PIK3R1;EGFR
Neurotrophin signaling pathway,5/119,0.006647876667002586,0.01514619323100589,0,0,4.4741387146623035,22.43090551872311,RPS6KA3;JUN;MAGED1;MAPKAPK2;PIK3R1
Bacterial invasion of epithelial cells,4/77,0.007185454361582799,0.016203932794997947,0,0,5.572376782940263,27.503560717588353,CAV2;CAV1;PIK3R1;MET
Cell cycle,5/124,0.007878927476310874,0.017588312851158618,0,0,4.285061174728959,20.75496586451663,CCND2;CCND1;PLK1;E2F2;CDC25B
Calcium signaling pathway,7/240,0.010122928592675067,0.022371672189811898,0,0,3.0780621531132732,14.137392554447967,HGF;KDR;CXCR4;FGFR3;MET;EGFR;MYLK
Type II diabetes mellitus,3/46,0.010614210649157109,0.02322515399469031,0,0,7.069409660107334,32.134436721037815,SOCS3;IRS2;PIK3R1
Shigellosis,7/246,0.01148311307861508,0.024880078336999338,0,0,2.999868562290521,13.400046136089044,C3;JUN;ARF1;PIK3R1;TLR4;EGFR;FOXO1
Salmonella infection,7/249,0.01221076581188883,0.026199798489586715,0,0,2.9622257799316345,13.049899861270797,TCF7L2;JUN;ARF1;KLC2;FADD;FOS;TLR4
Apoptosis,5/142,0.0136134327977718,0.02885995264992406,0,0,3.718656631746152,15.977945508843312,JUN;PIK3R1;FADD;FOS;CTSD
GnRH signaling pathway,4/93,0.013728517068990803,0.02885995264992406,0,0,4.566894474690143,19.58412256520565,EGR1;MMP14;JUN;EGFR
Pathogenic Escherichia coli infection,6/197,0.013842330230280317,0.02885995264992406,0,0,3.2086060209424083,13.73291069187258,JUN;ARF1;FADD;FOS;EZR;TLR4
TGF-beta signaling pathway,4/94,0.014230476839340207,0.02939191945321669,0,0,4.515922107674685,19.2033687937959,PPP2R1B;BMPR1B;DCN;TGFBR2
Circadian entrainment,4/97,0.01580564630690436,0.03234303549838762,0,0,4.36958208624321,18.122352491235524,PER1;GNG2;RASD1;FOS
Choline metabolism in cancer,4/98,0.016354060865679677,0.03315823349830467,0,0,4.322877824084229,17.781202752720034,JUN;PIK3R1;FOS;EGFR
Regulation of lipolysis in adipocytes,3/55,0.017196707468804112,0.03454974864187008,0,0,5.84319526627219,23.74112055013548,FABP4;IRS2;PIK3R1
Progesterone-mediated oocyte maturation,4/100,0.017486372614794122,0.03481521034116668,0,0,4.232388316151202,17.125654244050143,RPS6KA3;PLK1;PIK3R1;CDC25B
Phagosome,5/152,0.017775596327641724,0.035075060610793046,0,0,3.4639244298755774,13.959368665739063,C3;TAP1;CALR;CD36;TLR4
Hedgehog signaling pathway,3/56,0.01804049737404705,0.03528274265189733,0,0,5.732656023222061,23.017394687188755,GRK3;CCND2;CCND1
Legionellosis,3/57,0.01890698326246999,0.036653011412332175,0,0,5.626210826210826,22.326064494152536,C3;ARF1;TLR4
VEGF signaling pathway,3/59,0.02070816364581049,0.03979568839760103,0,0,5.424725274725275,21.032892807745707,MAPKAPK2;KDR;PIK3R1
Necroptosis,5/159,0.021142029329160792,0.040279211049521854,0,0,3.305295740528901,12.746847600305095,STAT5A;STAT5B;STAT1;FADD;TLR4
Viral myocarditis,3/60,0.021642897959238256,0.04088102947856115,0,0,5.329284750337382,20.427563690905835,CCND1;CAV1;DMD
Wnt signaling pathway,5/166,0.024899587844699565,0.04663397384473393,0,0,3.1604608502558493,11.671278604467908,TCF7L2;JUN;CCND2;CCND1;FZD4
Sphingolipid signaling pathway,4/119,0.030689992591719423,0.05699570052747893,0,0,3.5297176154190946,12.296896063976588,PPP2R1B;S1PR1;PIK3R1;CTSD
Alzheimer disease,8/369,0.03099626697407099,0.0570847916772474,0,0,2.2675025513923313,7.877051041399943,KLC2;LRP1;MME;FZD4;LPL;IRS2;PIK3R1;FADD
Epithelial cell signaling in Helicobacter pylori infection,3/70,0.032240602824136856,0.058885729125076405,0,0,4.531572904707233,15.563817031954146,JUN;MET;EGFR
Tuberculosis,5/180,0.03364008413978711,0.06093818520404059,0,0,2.9055514433752774,9.855737834837814,C3;STAT1;FADD;CTSD;TLR4
Platelet activation,4/124,0.03492327266633233,0.0627483191809711,0,0,3.381786941580756,11.344548674513174,COL1A2;VWF;PIK3R1;MYLK
B cell receptor signaling pathway,3/81,0.04648439109138168,0.0828471808967367,0,0,3.8903353057199213,11.93803346808487,JUN;FOS;PIK3R1
Diabetic cardiomyopathy,5/203,0.051709844915919914,0.09084439267471814,0,0,2.5650285235777464,7.5978891800779955,COL1A2;PIK3R1;CD36;CTSD;TGFBR2
Aldosterone-regulated sodium reabsorption,2/37,0.051793635642599485,0.09084439267471814,0,0,5.762973760932945,17.061214671092433,PIK3R1;SGK1
Neuroactive ligand-receptor interaction,7/341,0.05365161467240888,0.09336225860316821,0,0,2.1361883562717496,6.248871560993032,C3;GHR;THRB;LEP;S1PR1;LEPR;NR3C1
Prion disease,6/273,0.05476369218489602,0.09455293728798453,0,0,2.2863998127340825,6.641369225962622,EGR1;KLC2;CAV2;CAV1;PIK3R1;LAMC1
Phospholipase D signaling pathway,4/148,0.0597346584876649,0.10233612035483676,0,0,2.8147193585337917,7.931436911670672,ARF1;KIT;PIK3R1;EGFR
mTOR signaling pathway,4/154,0.06708792293391805,0.11403744809589628,0,0,2.7013058419243987,7.298256400706165,RPS6KA3;FZD4;PIK3R1;SGK1
Fat digestion and absorption,2/43,0.06759685837358557,0.11403744809589628,0,0,4.918118466898955,13.250364137460942,ABCA1;CD36
ABC transporters,2/45,0.07317652182093962,0.1225152372911186,0,0,4.688894162316089,12.260898613128823,ABCA1;TAP1
Hematopoietic cell lineage,3/99,0.07530024677639337,0.12512296644799198,0,0,3.1580128205128206,8.167479713124104,MME;KIT;CD36
Melanogenesis,3/101,0.07889497825568491,0.13011783727243556,0,0,3.0932496075353217,7.855733319132799,TCF7L2;FZD4;KIT
Intestinal immune network for IgA production,2/48,0.08181072190551267,0.13392718178606147,0,0,4.382431233362911,10.970745946307456,CXCL12;CXCR4
Protein digestion and absorption,3/103,0.08256345325766513,0.13416561154370585,0,0,3.031076923076923,7.560076145928414,COL17A1;COL1A2;MME
NF-kappa B signaling pathway,3/104,0.08442489877948275,0.1344168461836447,0,0,3.000913937547601,7.417937890699555,CXCL12;PLAU;TLR4
T cell receptor signaling pathway,3/104,0.08442489877948275,0.1344168461836447,0,0,3.000913937547601,7.417937890699555,JUN;PIK3R1;FOS
cGMP-PKG signaling pathway,4/167,0.0845427222603014,0.1344168461836447,0,0,2.4842198469420023,6.137260867723485,RGS2;MEF2C;IRS2;MYLK
Protein processing in endoplasmic reticulum,4/171,0.09031976886450205,0.14257620656467823,0,0,2.424223717513427,5.82880088390595,PPP1R15A;DNAJC1;CALR;CRYAB
Cholinergic synapse,3/113,0.10196100060169108,0.15981121370903353,0,0,2.754125874125874,6.288123487024435,GNG2;PIK3R1;FOS
Notch signaling pathway,2/59,0.11580812452808689,0.18023658817399438,0,0,3.5347296813462226,7.6202429080226235,MAML2;DTX1
Neutrophil extracellular trap formation,4/189,0.11853968166913981,0.18319768985230697,0,0,2.186347171914182,4.662401759323885,C3;VWF;PIK3R1;TLR4
Glycerolipid metabolism,2/61,0.1223248600244283,0.18665708539096262,0,0,3.414562435143549,7.174251720956937,ALDH2;LPL
Herpes simplex virus 1 infection,8/498,0.12246731846918363,0.18665708539096262,0,0,1.6594629430719656,3.4847246087233343,C3;SOCS3;STAT1;TAP1;CCL2;PIK3R1;CALR;FADD
Basal cell carcinoma,2/63,0.12892888030731356,0.19515946950627602,0,0,3.3022750083640013,6.764691670684913,TCF7L2;FZD4
GnRH secretion,2/64,0.13226176364444261,0.19884251541103276,0,0,3.248847926267281,6.572329238772686,SPP1;PIK3R1
Oocyte meiosis,3/129,0.13628291474652712,0.20350354161474657,0,0,2.4024420024420023,4.7881204817013945,RPS6KA3;PPP2R1B;PLK1
