Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
positive regulation of cellular process (GO:0048522),49/625,1.8043281287950535E-14,5.196287727439652E-12,0,0,4.077103500280583,129.02402963070864,FLT4;IRS2;CIB1;FGF1;FGF2;RPS6KA3;ZFP36;FGF7;CCND2;CCND1;MDK;CHEK1;KDR;SIRPA;TIMP1;CD36;CR1;PRKCA;LIFR;PROX1;CDC25B;TGFBR2;MMP14;TAL1;PRTN3;CCL14;LRP1;PDGFA;IL2RG;EXOSC4;GRK5;CXCR2;ERBB2;NKX2-5;EGR2;CAV1;HMGA2;CDC7;MAPK15;IL6;CXCL12;PRC1;SAA1;CALR;BMPR1B;FGFR4;TDGF1;FGFR3;EZH2
positive regulation of MAPK cascade (GO:0043410),32/274,1.829678777267483E-14,5.196287727439652E-12,0,0,6.183499089508334,195.5967578282433,RET;CCL14;NRP1;CCL13;FLT4;PELI2;PDGFA;GATA4;CIB1;ADRB2;FGF1;FGF2;ADRA1A;ERBB2;KDR;TNFSF11;CCL2;CD36;CCL19;CCL16;CCL21;CAV2;PLA2G2A;PRKCA;BMP2;IL6;KIT;SPRY2;TEK;FGFR4;FGFR3;EZH2
cellular response to growth factor stimulus (GO:0071363),24/158,1.1291122037574695E-13,2.960011069542658E-11,0,0,8.262204417343213,246.31428021946897,STAT5B;NRP1;MEF2C;ANXA1;HGF;FLT4;CIB1;KLF4;RUNX2;TGFBR2;VIL1;NR4A1;ZFP36;BMP2;CLEC3B;MAPKAPK2;ERBB2;KDR;CCL2;SPRY2;PRKD1;BMPR1B;TDGF1;SOX5
"regulation of transcription, DNA-templated (GO:0006355)",101/2244,2.388853964174653E-12,5.815153078505155E-10,0,0,2.3855549164939394,63.837944276712946,FGF2;ETS2;HOXA10;RPS6KA3;FGF7;RUVBL1;CAPN3;ZNF205;PITX1;TNFRSF4;SOX5;MEF2C;RFX2;MITF;SOX10;RUNX2;SAP30;MYCN;HOXB2;ERG;ZFPM2;ATF3;SKAP1;BLM;MAGED1;EPAS1;GATA4;GATA3;FOXO1;OTX1;NKX2-5;ZNF423;PPARGC1A;STAT5A;NFE2;STAT5B;EGR1;CDT1;JUN;EGR2;CBX4;HMGA1;HMGA2;INHBA;ESR1;FLI1;COL1A1;NR4A1;BMP2;IL6;MRGBP;BCL3;CALR;EZH2;RET;CALCOCO1;SIX1;BRCA1;BRCA2;MECOM;SIX2;SIX3;TEAD1;KLF11;PAX3;RHOH;FOS;PROX1;PAX2;ACTA2;NR5A2;TAL1;ELF5;KIT;IRF7;PPARG;PPARA;CRYAB;YAP1;HLF;SATB1;ASCL1;HOXD10;ERBB2;E2F1;E2F2;TNNI2;E2F5;RXRG;RUNX1T1;ARNT2;TCF7L2;STAT1;CDKN2A;KLF4;HNRNPAB;AGT;KLF1;PER2;CENPF;WT1
positive regulation of intracellular signal transduction (GO:1902533),42/546,2.81761416723688E-12,6.401619387962192E-10,0,0,3.9394127377998345,104.76919636356659,RET;PRKN;FLT4;PELI2;PDGFA;IRS2;GATA3;ADRB2;FGF1;FGF2;ADRA1A;FGF7;ERBB2;KDR;TNFSF11;PMAIP1;CCL19;FADD;ECT2;IKBKE;LURAP1;TCF7L2;CCL21;VWF;CAV2;TRAT1;HGF;CAV1;IL18;ESR1;AGT;DCN;BMP2;IL6;KIT;SPRY2;S100A4;PRKD1;TEK;FGFR4;MET;FGFR3
positive regulation of epithelial cell proliferation (GO:0050679),20/123,3.5444212612607056E-12,7.549617286485303E-10,0,0,8.88726442033124,234.3184696074223,STAT5A;YAP1;NRP1;TCF7L2;FLT4;PTPRN;PRKCA;LAMC1;PROX1;FGF1;FGF2;PAX2;NR4A1;FGF7;BMP2;MDK;ERBB2;KDR;PRKD1;TEK
positive regulation of cell differentiation (GO:0045597),28/258,4.993586328877014E-12,1.001067188753698E-9,0,0,5.641747471587947,146.8144427530572,YAP1;FBN2;ASCL1;RPS6KA3;ZFP36;MDK;KDR;CD36;APOB;NKX2-5;ECT2;SOX5;MEF2C;HGF;PLA2G2A;IL18;RUNX2;PAX2;AGT;TGFBR2;COL1A1;BMP2;IL6;PPARG;PRKD1;CAMK1;BMPR1B;EZH2
positive regulation of ERK1 and ERK2 cascade (GO:0070374),23/172,5.681422712879835E-12,1.0756827003052489E-9,0,0,7.098476414644232,183.80666655817555,CCL14;NRP1;CCL13;CCL21;FLT4;PLA2G2A;PDGFA;CIB1;PRKCA;GATA4;FGF2;ADRA1A;BMP2;KDR;TNFSF11;CCL2;SPRY2;CD36;CCL19;TEK;FGFR4;FGFR3;CCL16
protein phosphorylation (GO:0006468),39/496,9.07939959478752E-12,1.6285575694229405E-9,0,0,4.014304038977698,102.06373257536225,RET;ALK;FLT4;AURKA;RPS6KA3;GRK3;GRK5;CHEK1;ERBB2;KDR;CCL2;NEK2;CTSG;PAK3;IKBKE;PAK5;PAK4;PLK4;PRKCA;CDC7;BMX;MAPK15;CIT;CDC25B;TGFBR2;CCNA2;BMP2;MELK;MAPKAPK2;KIT;PRKD1;ERG;CAMK1;TEK;SGK1;BMPR1B;FGFR4;TDGF1;FGFR3
regulation of endothelial cell migration (GO:0010594),17/89,1.033013611745998E-11,1.7602551944151807E-9,0,0,10.748020508826583,271.8814501807955,NRP1;ANXA3;FLT4;PRKCA;PROX1;GATA3;FGF1;FGF2;DCN;AGT;SH3BP1;RHOJ;KDR;PRKD1;CALR;TEK;TDGF1
regulation of angiogenesis (GO:0045765),24/203,2.8150168485910563E-11,4.5683701999992E-9,0,0,6.170782520999483,149.90970632704227,ANXA3;STAT1;HMGA2;PRKCA;GATA4;BRCA1;FGF1;KLF4;FGF2;DCN;AQP1;CDH5;CXCL10;EFNA3;IL6;RHOJ;ADAM12;ERBB2;KDR;SPRY2;PPARG;PRKD1;TEK;PAK4
regulation of protein kinase B signaling (GO:0051896),24/207,4.2624997467912E-11,6.60299960775655E-9,0,0,6.03465597134068,144.0990168308163,RET;TCF7L2;CCL21;TRAT1;HGF;IL18;PDGFA;GATA4;CIB1;IRS2;GATA3;FGF1;FGF2;ESR1;FGF7;KIT;ERBB2;SPRY2;CCL19;TEK;PPARA;FGFR4;FGFR3;MET
positive regulation of endothelial cell migration (GO:0010595),16/86,6.406831714061023E-11,9.493253252834768E-9,0,0,10.381618381618381,243.66770365152632,STAT5A;NRP1;ANXA3;FLT4;PRKCA;PROX1;GATA3;FGF1;FGF2;AGT;KDR;PRKD1;CALR;TEK;MET;TDGF1
"negative regulation of transcription, DNA-templated (GO:0045892)",55/948,7.707549739597075E-11,1.0547746186283729E-8,0,0,2.9471674275705633,68.62843533268888,BRCA1;ETS2;ZFP36;MECOM;CCND1;SIX3;CAPN3;ZNF205;TNFRSF4;KLF11;MEF2C;PARP1;MITF;PROX1;SOX10;PAX2;RUNX2;SAP30;IRF7;RARB;PPARG;PPARA;EZR;ZFPM2;CRYAB;ATF3;PRKN;YAP1;SATB1;GATA3;ASCL1;FOXO1;MUC1;E2F1;NKX2-5;ZNF423;RUNX1T1;TCF7L2;JUN;CBX4;STAT1;CDKN2A;CAV1;CBX2;HMGA1;HMGA2;KLF4;ESR1;PER2;CENPF;BMP2;WT1;BCL3;CALR;EZH2
positive regulation of protein kinase B signaling (GO:0051897),21/161,7.737489866698746E-11,1.0547746186283729E-8,0,0,6.868514150943396,159.91521016092332,RET;TCF7L2;CCL21;TRAT1;HGF;IL18;PDGFA;IRS2;GATA3;FGF1;FGF2;ESR1;FGF7;KIT;ERBB2;SPRY2;CCL19;TEK;FGFR4;FGFR3;MET
positive regulation of pri-miRNA transcription by RNA polymerase II (GO:1902895),11/34,1.0556907986597427E-10,1.3837670160893857E-8,0,0,21.523943097575636,494.4406078156847,EGR1;NGFR;JUN;TERT;WT1;PPARG;GATA3;FOS;KLF4;FGF2;TEAD1
negative regulation of programmed cell death (GO:0043069),32/381,1.354840308879432E-10,1.6860337456223792E-8,0,0,4.263943331691377,96.88603389297279,FLT4;CIB1;ASCL1;FOXO1;AQP1;RPS6KA3;CCND2;MECOM;GRK5;CFL1;KDR;CAPN3;NKX2-5;BARD1;NGFR;ANXA1;CBX4;SIAH2;HGF;PLAUR;HMGA2;PAX2;IL6;PROC;WT1;BCL3;SPRY2;TEK;TDGF1;CRYAB;MET;MAD2L1
regulation of ERK1 and ERK2 cascade (GO:0070372),25/238,1.431187251435583E-10,1.6860337456223792E-8,0,0,5.405209031969595,122.5217464886373,CCL14;NRP1;CCL13;FLT4;PDGFA;GATA4;CIB1;FGF2;ADRA1A;ERBB2;KDR;SIRPA;CCL2;CD36;CCL19;CCL16;CCL21;PLA2G2A;PRKCA;BMP2;SPRY2;TEK;EZR;FGFR4;FGFR3
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169),33/404,1.434711814056602E-10,1.6860337456223792E-8,0,0,4.141731871352681,93.871884547563,CYFIP2;RET;ALK;NRP1;SHC3;FLT4;ITSN1;PDGFA;IRS2;ADRB2;FGF1;FGF2;FOXO1;FGF7;STMN1;ERBB2;KDR;POLR2H;PAK3;VAV3;NGFR;CAV2;HGF;VAV2;COL1A1;EFNA3;MAPKAPK2;KIT;PRKD1;TEK;FGFR4;MET;FGFR3
positive regulation of cell motility (GO:2000147),24/221,1.6862580884829546E-10,1.9155891885166362E-8,0,0,5.601745903517127,126.05798708494531,RET;CCL21;HGF;CAV1;FAM107A;PDGFA;PRKCA;CIB1;SEMA3F;FGF1;MYLK;COL1A1;VIL1;CDH5;MMP14;BMP2;CXCL12;MDK;KIT;KDR;PECAM1;SPRY2;CCL19;TDGF1
regulation of pri-miRNA transcription by RNA polymerase II (GO:1902893),12/45,1.879230550991451E-10,2.0659411992835046E-8,0,0,16.394709216880116,367.1593246723172,EGR1;NGFR;JUN;TERT;WT1;PPARG;GATA3;FOS;KLF4;PPARA;FGF2;TEAD1
positive regulation of multicellular organismal process (GO:0051240),30/345,2.2506333894976304E-10,2.3969245598149762E-8,0,0,4.415375788869765,98.08598028922174,LRP1;EPAS1;CXCR4;SIX1;ADRB1;ADRB2;FGF2;ADRA1A;TERT;MDK;CFL1;LEPR;CD36;PPARGC1A;LURAP1;SOX5;CAV1;IL18;INHBA;PAX2;AGT;GADD45G;TGFBR2;COL1A1;PER2;BMP2;IL6;SAA1;BMPR1B;EZH2
positive regulation of gene expression (GO:0010628),36/482,2.485371696050653E-10,2.5667111333759472E-8,0,0,3.771223699935312,83.40222886917199,PRKN;YAP1;CALCOCO1;BRCA1;FGF1;PLD1;FGF2;RIMS2;CDH5;FGF7;ERBB2;E2F1;HABP4;POLR2H;CD36;PPARGC1A;LURAP1;EGR1;MEF2C;HMGA2;MITF;INHBA;KLF4;AGT;ACTA2;BMP2;IL6;MYCN;ACTC1;WT1;BCL3;SAA1;SPRY2;VIM;EZR;FGFR4
positive regulation of epithelial cell migration (GO:0010634),16/94,2.584464339970478E-10,2.5905454325351144E-8,0,0,9.313011774550237,205.59714602040023,NRP1;ANXA3;FLT4;PRKCA;PROX1;GATA3;FGF1;FGF2;AGT;VIL1;FGF7;KDR;PRKD1;CALR;TEK;TDGF1
positive regulation of protein phosphorylation (GO:0001934),31/371,3.01725964196078E-10,2.9379488170863825E-8,0,0,4.231777493606138,92.76691842493693,OPRD1;NRP1;FLT4;PELI2;PDGFA;CIB1;FGF1;FGF2;C3;VTN;FGF7;CCND2;CCND1;ERBB2;KDR;LEPR;CCL19;CCL21;HGF;CAV1;PLAUR;INHBA;AGT;BMP2;IL6;PECAM1;SPRY2;PRKD1;CAMK1;TEK;TDGF1
regulation of MAPK cascade (GO:0043408),20/166,9.190917475769982E-10,8.700735210395584E-8,0,0,6.255922643029814,130.17095597295724,RET;CAV2;DUSP1;CAV1;FLT4;PELI2;PDGFA;ADRB2;FGF2;ADRA1A;BMP2;IL6;KIT;ERBB2;KDR;TEK;PAK3;FGFR3;PAK5;PAK4
mitotic cell cycle phase transition (GO:0044772),22/209,1.7774820436441512E-9,1.637205082361964E-7,0,0,5.386733416770964,108.53227148241265,PLK4;CDKN2C;CDKN2A;CDC7;INHBA;TUBG1;PKMYT1;CDC25B;AURKA;EPS8;CCNA2;CCNB2;CCND2;MELK;DBF4;CCND1;CCNE2;PRKAR2B;E2F1;RCC1;NEK2;CDKN3
apoptotic process (GO:0006915),23/231,2.2521239462598486E-9,2.019799581277254E-7,0,0,5.069506471017134,100.94093104660531,CYFIP2;NGFR;PARP1;MX1;PAX3;CXCR4;GZMB;CIB1;ADRA1A;FOXO1;CIT;TGFBR2;MELK;CHEK1;LTA;PAEP;CAPN3;PMAIP1;FADD;BAK1;PAK5;ARHGEF6;PAK4
positive regulation of phosphorylation (GO:0042327),24/253,2.6631053329528917E-9,2.3271443524880655E-7,0,0,4.811003122115155,94.98735343300773,RET;ALK;NRP1;HGF;FLT4;PELI2;PLAUR;CIB1;FGF1;FGF2;C3;FGF7;BMP2;CCND2;CCND1;KIT;ERBB2;KDR;LEPR;PECAM1;TEK;FGFR4;FGFR3;MET
regulation of cell migration (GO:0030334),31/408,3.0402905011651395E-9,2.590327506992699E-7,0,0,3.8091082663796305,74.70161357343159,RET;FAM107A;PDGFA;CIB1;SEMA3F;FGF1;FGF2;MYLK;CDH5;FGF7;PARD6B;MDK;KDR;NGFR;ANXA1;HGF;CAV1;PRKCA;MITF;MAPK15;COL1A1;VIL1;MMP14;BMP2;CXCL12;KIT;PECAM1;SPRY2;AMOTL2;SGK1;TDGF1
extracellular matrix organization (GO:0030198),26/300,3.94193249997337E-9,3.276611209733963E-7,0,0,4.3665487866487815,84.49968258256644,COL17A1;FBN2;LAMA1;PDGFA;LAMC1;FGF2;VTN;ACAN;KDR;CTSG;TIMP1;A2M;DST;VWF;CMA1;BGN;DCN;COL1A1;MMP14;COL3A1;VCAN;COL1A2;COL2A1;ADAM12;PECAM1;COL8A1
cellular component assembly (GO:0022607),24/261,4.945443986813717E-9,3.922354313201191E-7,0,0,4.64668210108542,88.86686162256042,YAP1;FAM107A;FANCA;PDGFA;RHOH;PARVA;MITF;LAMC1;EPS8;VIL1;PARD6B;CHAF1A;SH3BP1;RHOJ;REPS2;RAC3;CAPN3;ELOB;FLNC;EZR;PPARGC1A;NEFH;TEAD1;SKAP2
gland development (GO:0048732),13/71,4.948979913956901E-9,3.922354313201191E-7,0,0,10.115780651340996,193.45504253936667,ANXA1;CAV1;SIX1;PROX1;PKD2;MDK;WT1;SIX3;FADD;EZR;NKX2-5;MET;TDGF1
supramolecular fiber organization (GO:0097435),28/351,6.234693457591372E-9,4.736460181507366E-7,0,0,3.9980102605222325,75.53495327581427,PRKN;COL17A1;UBE2L6;CIB1;RND1;SPTA1;SH3BP1;STMN1;RAC3;CAPN3;CD36;DST;TPM3;SIAH2;H4-16;RHOH;SNCAIP;GFAP;COL1A1;COL3A1;COL1A2;COL2A1;ACTC1;SAA1;COL8A1;EVL;VIM;ALDOA
positive regulation of angiogenesis (GO:0045766),16/116,6.254128760793177E-9,4.736460181507366E-7,0,0,7.255944055944056,137.06495728377897,ANXA3;HMGA2;PRKCA;GATA4;BRCA1;FGF1;KLF4;FGF2;AQP1;CDH5;MDK;ADAM12;KDR;PRKD1;TEK;PAK4
positive regulation of cell migration (GO:0030335),24/269,8.95935163773735E-9,6.637710952480193E-7,0,0,4.493092248775995,83.25955133136178,RET;NRP1;HGF;CAV1;FAM107A;PDGFA;PRKCA;CIB1;SEMA3F;FGF1;MYLK;COL1A1;VIL1;CDH5;VTN;MMP14;BMP2;CXCL12;MDK;KIT;KDR;PECAM1;SPRY2;TDGF1
lymphocyte migration (GO:0072676),10/40,1.2541597201864584E-8,9.030809032371577E-7,0,0,14.96168582375479,272.2161277613352,CCL14;RET;CCL13;CCL21;S1PR1;SAA1;CCL2;GATA3;CCL19;CCL16
positive regulation of protein serine/threonine kinase activity (GO:0071902),15/106,1.3076243367128138E-8,9.030809032371577E-7,0,0,7.461282903143368,135.44070463361453,PDGFA;HMGA2;CIB1;ADRB2;PROX1;FGF1;PKD2;FGF2;CCND2;CCND1;KIT;ERBB2;TNFSF11;CAMK1;EZH2
regulation of cell cycle process (GO:0010564),15/106,1.3076243367128138E-8,9.030809032371577E-7,0,0,7.461282903143368,135.44070463361453,PLK4;CAV2;HMGA2;MKI67;PKMYT1;AURKA;DBF4;RACGAP1;PRC1;CHEK1;SIX3;RCC1;NEK2;ECT2;BUB1
regulation of cell cycle (GO:0051726),25/296,1.324942639725877E-8,9.030809032371577E-7,0,0,4.235635213494992,76.83150686081247,GATA3;BRCA1;PKD2;CCNB2;MECOM;CCND1;GRK5;CHEK1;BARD1;TCF7L2;JUN;CDKN2C;DUSP1;CDKN2A;HMGA2;PROX1;INHBA;GADD45G;PER2;NR4A1;CENPF;BMP2;BIN1;CALR;CDKN3
regulation of intracellular signal transduction (GO:1902531),31/437,1.528112411412693E-8,1.0098094119844748E-6,0,0,3.53168058827729,63.55841058827072,BLM;ITSN1;GATA4;BRCA1;AKAP5;FGF1;AURKA;AKAP12;RACGAP1;PRKAR2B;CHEK1;TNFSF11;RAC3;CAPN3;A2M;PAK3;ECT2;PAK5;PAK4;BARD1;VAV3;RFC4;VWF;RHOH;VAV2;BCL3;RHOJ;TEK;EZR;SGK1;ARHGEF6
regulation of endothelial cell proliferation (GO:0001936),14/92,1.540789008896499E-8,1.0098094119844748E-6,0,0,8.11107144981855,145.90508504804623,STAT5A;NRP1;CAV2;STAT1;FLT4;CAV1;PRKCA;PROX1;FGF2;NR4A1;BMP2;KDR;PRKD1;TEK
extracellular structure organization (GO:0043062),21/216,1.722280681720907E-8,1.0972959365706765E-6,0,0,4.917271407837446,87.90621513263353,COL17A1;FBN2;VWF;LAMA1;BGN;PDGFA;LAMC1;FGF2;DCN;COL1A1;VTN;ACAN;MMP14;COL3A1;VCAN;COL1A2;COL2A1;ADAM12;KDR;PECAM1;COL8A1
negative regulation of nucleic acid-templated transcription (GO:1903507),32/464,1.73867313893241E-8,1.0972959365706765E-6,0,0,3.429826921352345,61.28263311225991,GATA3;BRCA1;ASCL1;FOXO1;MECOM;SIX3;E2F1;CAPN3;NKX2-5;ZNF423;TNFRSF4;RUNX1T1;TCF7L2;JUN;CBX4;CDKN2A;HMGA1;HMGA2;PROX1;KLF4;PAX2;RUNX2;PER2;CENPF;BMP2;WT1;BCL3;PPARG;CALR;ZFPM2;CRYAB;EZH2
external encapsulating structure organization (GO:0045229),21/217,1.8682153704684277E-8,1.1576141786466185E-6,0,0,4.891930592991914,87.05531514590827,COL17A1;FBN2;VWF;LAMA1;BGN;PDGFA;LAMC1;FGF2;DCN;COL1A1;VTN;ACAN;MMP14;COL3A1;VCAN;COL1A2;COL2A1;ADAM12;KDR;PECAM1;COL8A1
positive regulation of cellular biosynthetic process (GO:0031328),19/180,2.196349494831544E-8,1.3366355497117683E-6,0,0,5.372612486513282,94.74002580638044,CDT1;EGR1;CCL21;HGF;IRS2;PLD1;PKD2;PTGS2;KLF4;FGF2;IL6;BCL3;ERBB2;ZNF205;CD36;CCL19;VIM;FGFR4;PPARGC1A
regulation of protein phosphorylation (GO:0001932),23/266,3.2909984582529965E-8,1.9676706571449494E-6,0,0,4.331480506309363,74.62919895314423,PRKN;HGF;FLT4;PELI2;PLAUR;PDGFA;CIB1;FGF1;FGF2;C3;CDH5;FGF7;BMP2;CCND2;CCND1;ERBB2;KDR;LEPR;PECAM1;SIRPA;TEK;ECT2;ATF3
